"secnum","section","short","name"
1,"Common Expressions","Expressions","expressions.md"
2,"Exclamations","Exclamations","exclamations.md"
3,"Greetings and Leave-Taking","Greetings","greetings.md"
4,"Common Requests","Requests","requests.md"
5,"Common Questions &amp; Answers","Questions","questions.md"
6,"Personal Conditions and Feelings","Feelings","feelings.md"
7,"Names and General Conversation","Names","names.md"
8,"Birthday and Birthplace","Birthday","birthday.md"
9,"Clothing","Clothing","clothing.md"
10,"Relatives and People","Relatives","relatives.md"
11,"Geography","Geography","geography.md"
12,"General Dialogue","Dialogue","dialogue.md"
13,"Directions","Directions","directions.md"
14,"Weather","Weather","weather.md"
15,"Counting","Counting","counting.md"
16,"Place Names","Placenames","placenames.md"
17,"Seasons","Seasons","seasons.md"
18,"Time","Time","time.md"
19,"Food","Food","food.md"
20,"Household Items","Household","household.md"
21,"Tools","Tools","tools.md"
22,"Animals","Animals","animals.md"
23,"Fish","Fish","fish.md"
24,"Birds","Birds","birds.md"
25,"Plants","Plants","plants.md"
26,"Drinking Tea (dialogue)","Drinking Tea","tea.md"
27,"Colors","Colors","colors.md"
28,"Camping","Camping","camping.md"